 min, max u ice = -0.36746409737256236       0.36747093787569485              145
 min, max u ice = -0.36956627788612750       0.36957320113861264              146
 min, max u ice = -0.37166358154422285       0.37167058790432783              147
 min, max u ice = -0.37375602637371025       0.37376311619758545              148
 min, max u ice = -0.37584363032529722       0.37585080396698728              149
 min, max u ice = -0.37792641127387910       0.37793366908533471              150
 min, max u ice = -0.38000438701887279       0.38001172934996230              151
 min, max u ice = -0.38207757528454905       0.38208500248306998              152
 min, max u ice = -0.38414599372036373       0.38415350613205451              153
 min, max u ice = -0.38620965990129086       0.38621725786984262              154
 min, max u ice = -0.38826859132814218       0.38827627519520935              155
 min, max u ice = -0.39032280542789988       0.39033057553311162              156
 min, max u ice = -0.39237231955404184       0.39238017623501331              157
 min, max u ice = -0.39441715098686519       0.39442509457920882              158
 min, max u ice = -0.39645731693381214       0.39646534777114922              159
 min, max u ice = -0.39849283452978262       0.39850095294375365              160
 min, max u ice = -0.40052372083745980       0.40053192715773539              161
 min, max u ice = -0.40254999284762771       0.40255828740191985              162
 min, max u ice = -0.40457166747949153       0.40458005059356494              163
 min, max u ice = -0.40658876158098450       0.40659723357866662              164
 min, max u ice = -0.40860129192908767       0.40860985313227960              165
 min, max u ice = -0.41060927523014229       0.41061792595882946              166
 min, max u ice = -0.41261272812016370       0.41262146869242716              167
 min, max u ice = -0.41461166716514380       0.41462049789717004              168
 min, max u ice = -0.41660610886136457       0.41661503006745593              169
 min, max u ice = -0.41859606963570811       0.41860508162829407              170
 min, max u ice = -0.42058156584595446       0.42059066893560132              171
 min, max u ice = -0.42256261378109150       0.42257180827651269              172
 min, max u ice = -0.42453922966162028       0.42454851586968745              173
 min, max u ice = -0.42651142963984967       0.42652080786560198              174
 min, max u ice = -0.42847922980020131       0.42848870034685588              175
 min, max u ice = -0.43044264615951161       0.43045220932847417              176
 min, max u ice = -0.43240169466732203       0.43241135075819626              177
 min, max u ice = -0.43435639120618008       0.43436614051677780              178
 min, max u ice = -0.43630675159193755       0.43631659441828924              179
 min, max u ice = -0.43825279157403679       0.43826272821040058              180
 min, max u ice = -0.44019452683581078       0.44020455757468313              181
 min, max u ice = -0.44213197299476692       0.44214209812689192              182
 min, max u ice = -0.44406514560288185       0.44407536541726084              183
 min, max u ice = -0.44599406014689247       0.44600437493079415              184
 min, max u ice = -0.44791873204857602       0.44792914208754581              185
 min, max u ice = -0.44983917666504403       0.44984968224291394              186
 min, max u ice = -0.45175540928901947       0.45176601068791711              187
 min, max u ice = -0.45366744514912499       0.45367814264948320              188
 min, max u ice = -0.45557529941016783       0.45558609329073441              189
 min, max u ice = -0.45747898717341368       0.45748987771126048              190
 min, max u ice = -0.45937852347687391       0.45938951094740638              191
 min, max u ice = -0.46127392329557698       0.46128500797254329              192
 min, max u ice = -0.46316520154185281       0.46317638369735326              193
 min, max u ice = -0.46505237306560221       0.46506365297009794              194
 min, max u ice = -0.46693545265457848       0.46694683057690106              195
 min, max u ice = -0.46881445503465430       0.46882593124201438              196
 min, max u ice = -0.47068939487010097       0.47070096962809760              197
 min, max u ice = -0.47256028676385270       0.47257196033648213              198
 min, max u ice = -0.47442714525778390       0.47443891790744863              199
 min, max u ice = -0.47628998483297080       0.47630185682048820              200
 min, max u ice = -0.47814881990996605       0.47816079149457763              201
 min, max u ice = -0.48000366484905849       0.48001573628843813              202
 min, max u ice = -0.48185453395054512       0.48186670550080807              203
 min, max u ice = -0.48370144145498833       0.48371371337069990              204
 min, max u ice = -0.48554440154348572       0.48555677407767001              205
 min, max u ice = -0.48738342833792780       0.48739590174207614              206
 min, max u ice = -0.48921853590125636       0.48923111042533574              207
 min, max u ice = -0.49104973823772990       0.49106241413019158              208
 min, max u ice = -0.49287704929317577       0.49288982680096360              209
 min, max u ice = -0.49470048295525360       0.49471336232381263              210
 min, max u ice = -0.49652005305370489       0.49653303452698933              211
